epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.44586549878120424,0.1423790473677218,0.008827331690848723,0.3034864529967308,0.3138661742210388,0.07179833327730496,1.7961520557922365e-10,0.2420678421854973
1,0.2977510964125395,0.04047925973776728,1.778198516384777e-10,0.2572718374058604,0.24724862227837244,0.027744689397513865,1.8186908160022773e-10,0.21950393319129943
2,0.24929996833205223,0.029217429826967418,1.724735807298594e-10,0.22008253794163465,0.18550941894451778,0.0207380294178923,1.725480866983838e-10,0.1647713914513588
3,0.17127808909863235,0.025979444540571422,0.5030008980885815,0.145298644695431,0.097206012904644,0.016473858368893465,0.8877892514069875,0.08073215484619141
4,0.12619791456498206,0.025550118596293032,0.8248617099970579,0.1006477954890579,0.08772216513752937,0.0181430717309316,0.890832374493281,0.06957909303406874
5,0.1262147951219231,0.025008163838647304,0.8154035898298025,0.10120663118548691,0.08200505847732226,0.0169193455328544,0.8558988471825918,0.0650857130686442
6,0.1112280185893178,0.024440021510235964,0.8407511453330517,0.08678799727931619,0.07801517322659493,0.01750280788789193,0.9021052916844686,0.06051236552496751
7,0.1061444384790957,0.02412091350182891,0.8450118368119002,0.08202352519147098,0.07408591198424498,0.018590464039395252,0.8805828173955281,0.05549544853468736
8,0.10470691169612109,0.024780012033879757,0.8435806658864021,0.07992689974606038,0.07153605247537295,0.01856401717911164,0.8786756118138631,0.05297203535834948
9,0.09610277941450476,0.023829905341845006,0.8610444544255733,0.0722728741215542,0.061552010600765546,0.016174140044798453,0.901588648557663,0.045377870400746666
10,0.09332351914606989,0.02371287572197616,0.8655298145115375,0.06961064333561807,0.06038102768361568,0.014689014696826538,0.9109552264213562,0.045692012955745064
11,0.08815843405202031,0.023684989518951625,0.8801075200736522,0.06447344434913248,0.0628567349165678,0.01551839370901386,0.9126177887121837,0.0473383413006862
12,0.08863945528864861,0.02324688936932944,0.8813566011935472,0.06539256616495549,0.06342221262554328,0.01611751823996504,0.9160009841124217,0.04730469447871049
13,0.08538655190728604,0.02292727183084935,0.8863299882411957,0.062459280039183794,0.057972956572969754,0.016372678615152837,0.9103543519973755,0.04160027801990509
14,0.08147217811085283,0.022593074935721234,0.8947236080467701,0.0588791032647714,0.05886997965474924,0.014669579810773332,0.9193144996960958,0.044200400325159234
15,0.0833088340703398,0.023347432994050905,0.8893135003000497,0.05996140108443797,0.0911746890594562,0.02193618236730496,0.7618052939573924,0.06923850638171038
16,0.08585858352482319,0.02349950699834153,0.8906097511947155,0.06235907660331577,0.05861191314955552,0.01657566512003541,0.9095452467600504,0.04203624799847603
17,0.08120759917423129,0.023648903651628642,0.9008350783586502,0.057558695366606114,0.06004867541293303,0.015978152677416802,0.8967800319194794,0.044070522859692575
18,0.07924749361351133,0.0230724340188317,0.897207991629839,0.05617505967151373,0.05821950795749823,0.017589440134664378,0.9046255628267924,0.040630067512392995
19,0.07762923471163959,0.023861488427501173,0.9057029467821122,0.05376774619799107,0.05230238139629364,0.014052686747163534,0.9094703118006389,0.038249695052703224
20,0.07130797929130495,0.023114566238364206,0.9152224719524383,0.04819341317750513,0.05132078354557355,0.01428210074082017,0.9248607675234477,0.037038682773709294
21,0.07432177279610187,0.023834448857232928,0.9144335870444774,0.05048732390161604,0.05273632307847341,0.013798384927213192,0.9200629432996114,0.03893793827543656
22,0.07247894683852792,0.023308084019226953,0.9150259692966938,0.049170862813480196,0.05009527169167995,0.014704362613459428,0.9276455263296763,0.035390909078220525
23,0.0724196041515097,0.023302417754894122,0.91494363412261,0.04911718656308949,0.04968079427878062,0.013583079663415749,0.9250713785489401,0.03609771418074767
24,0.07261118871625513,0.02394090648391284,0.9158597561717033,0.048670282303355634,0.0540482509881258,0.016703747616459926,0.9252622107664744,0.03734450371315082
